# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
468 4.060344E-06 4.961197E-06 6.451051E-06 
469 4.058905E-06 4.959591E-06 6.449281E-06 
470 4.057465E-06 4.957983E-06 6.447505E-06 
471 4.056022E-06 4.956372E-06 6.445724E-06 
472 4.054579E-06 4.954760E-06 6.443938E-06 
473 4.053133E-06 4.953146E-06 6.442147E-06 
474 4.051687E-06 4.951529E-06 6.440352E-06 
475 4.050240E-06 4.949912E-06 6.438552E-06 
476 4.048791E-06 4.948293E-06 6.436748E-06 
477 4.047342E-06 4.946672E-06 6.434939E-06 
478 4.045892E-06 4.945051E-06 6.433128E-06 
479 4.044441E-06 4.943428E-06 6.431312E-06 
480 4.042990E-06 4.941805E-06 6.429493E-06 
481 4.041538E-06 4.940180E-06 6.427672E-06 
482 4.040085E-06 4.938555E-06 6.425847E-06 
483 4.038633E-06 4.936928E-06 6.424019E-06 
484 4.037179E-06 4.935302E-06 6.422188E-06 
485 4.035726E-06 4.933674E-06 6.420355E-06 
486 4.034272E-06 4.932046E-06 6.418519E-06 
487 4.032818E-06 4.930417E-06 6.416681E-06 
488 4.031364E-06 4.928787E-06 6.414841E-06 
489 4.029910E-06 4.927157E-06 6.412998E-06 
490 4.028455E-06 4.925526E-06 6.411153E-06 
491 4.027000E-06 4.923894E-06 6.409306E-06 
492 4.025545E-06 4.922262E-06 6.407456E-06 
493 4.024089E-06 4.920629E-06 6.405605E-06 
494 4.022633E-06 4.918994E-06 6.403751E-06 
495 4.021177E-06 4.917359E-06 6.401895E-06 
496 4.019720E-06 4.915723E-06 6.400037E-06 
497 4.018262E-06 4.914086E-06 6.398176E-06 
498 4.016804E-06 4.912447E-06 6.396313E-06 
499 4.015345E-06 4.910807E-06 6.394448E-06 
500 4.013885E-06 4.909165E-06 6.392580E-06 
501 4.012425E-06 4.907522E-06 6.390709E-06 
502 4.010963E-06 4.905877E-06 6.388836E-06 
